Gene,HLA 49:36,HLA 81:95,HLA 34:45,HLA 92:44,HLA 70:22,HLA 84:40,HLA 91:85,HLA 47:96,HLA 56:71,HLA 85:65,HLA 58:16,HLA 49:92,HLA 16:79,HLA 60:88,HLA 14:97,HLA 24:67,HLA 85:10,HLA 48:15,HLA 32:42,HLA 29:23,HLA 14:63,HLA 42:82,HLA 59:82,HLA 49:79,HLA 47:76,HLA 33:45,HLA 11:91,HLA 42:37,HLA 61:81,HLA 34:64,HLA 73:75,HLA 15:92,HLA 66:30,HLA 28:82,HLA 33:63,HLA 39:23,HLA 92:79,HLA 83:24,HLA 10:68,HLA 99:13,HLA 40:96,HLA 16:86,HLA 29:26,HLA 45:47,HLA 61:42,HLA 65:75,HLA 97:48,HLA 79:98,HLA 99:99,HLA 47:82,HLA 34:39,HLA 68:84,HLA 50:80,HLA 59:97,HLA 46:38,HLA 66:40,HLA 40:80,HLA 74:47,HLA 10:56,HLA 61:93,HLA 57:10,HLA 82:90,HLA 13:70,HLA 75:79,HLA 54:91,HLA 72:80,HLA 76:69,HLA 57:26,HLA 74:99,HLA 55:40,HLA 36:82,HLA 12:49,HLA 94:80,HLA 32:66,HLA 74:33,HLA 77:11,HLA 49:67,HLA 40:46,HLA 57:43,HLA 57:56,HLA 64:15,HLA 93:54,HLA 69:14,HLA 80:82,HLA 89:41,HLA 21:78,HLA 32:10,HLA 13:48,HLA 16:80,HLA 38:61
C20orf186,50,15,76,95,50,80,24,66,56,66,14,78,9,56,65,73,26,42,72,22,30,73,47,28,92,60,49,64,59,67,92,90,50,2,41,31,33,64,37,89,24,17,49,32,98,46,64,12,78,40,97,22,69,48,7,47,98,81,10,84,4,23,95,12,2,8,31,93,47,13,88,52,60,40,65,52,79,65,96,90,45,18,22,25,56,84,72,16,98,76
C20orf191,8,9,19,35,33,90,84,92,94,10,17,90,5,96,39,15,36,9,80,43,49,50,27,12,83,48,51,39,78,2,56,75,86,54,8,97,45,59,65,13,18,12,90,68,90,71,79,30,71,94,11,1,76,44,66,23,62,89,43,7,45,9,59,84,27,98,69,37,73,62,97,32,64,53,57,5,80,7,49,54,67,58,98,8,34,48,68,63,2,90
C20orf195,66,19,23,63,78,54,70,62,45,39,55,64,20,32,3,49,83,62,50,20,57,41,83,21,22,21,37,62,72,46,65,47,47,15,3,3,92,78,69,99,32,99,98,97,76,9,10,87,79,40,27,63,73,7,91,27,70,23,60,5,97,27,59,88,41,11,98,76,29,70,17,98,60,53,49,90,42,36,76,37,84,56,36,14,48,53,49,37,53,18
C20orf196,62,68,79,9,93,46,52,10,36,50,55,45,95,57,44,64,40,23,44,46,34,1,69,25,74,37,24,55,46,59,7,20,22,51,55,90,45,52,59,94,4,87,31,4,58,84,13,13,1,84,21,11,47,16,47,80,3,92,42,44,80,31,48,36,92,81,49,88,18,17,37,61,34,99,23,18,29,23,48,33,69,25,95,4,11,11,44,83,30,65
C20orf197,62,64,29,31,68,37,58,53,95,7,46,21,60,44,33,10,65,76,21,10,64,77,82,88,85,19,30,16,56,2,87,38,13,96,63,55,26,58,44,86,28,15,36,97,65,50,37,29,45,63,96,31,79,90,46,28,31,74,8,97,36,86,52,52,14,19,46,70,23,48,98,41,18,15,19,14,12,20,12,43,87,86,71,54,56,93,69,69,10,62
C20orf201,46,42,50,85,19,39,23,25,59,40,64,14,39,53,17,95,27,86,31,87,25,25,9,34,35,59,84,33,47,66,19,42,41,48,57,64,72,80,99,96,1,44,88,7,51,99,91,8,95,91,49,39,57,2,67,25,16,6,20,19,47,60,17,17,18,7,76,30,50,85,5,43,58,34,81,79,18,67,9,83,92,55,67,82,76,51,77,81,22,18
C20orf203,24,14,58,51,66,17,77,69,35,61,92,18,63,66,1,32,34,12,83,58,14,83,31,41,77,33,19,85,83,74,51,56,55,67,3,23,50,93,51,17,10,37,41,86,12,6,47,31,70,97,73,49,37,52,63,29,91,54,31,1,57,30,36,91,37,87,3,24,43,37,99,2,48,45,98,55,25,62,32,92,49,54,31,3,94,10,12,59,28,93
C20orf46,56,95,67,77,9,98,52,77,38,84,64,1,63,40,35,17,13,35,23,85,81,93,51,46,20,56,40,91,53,56,31,41,99,71,71,97,43,85,92,49,16,96,26,24,9,24,45,30,22,60,17,83,12,55,65,3,33,5,34,82,28,77,95,71,32,35,81,88,46,56,92,7,91,45,37,89,35,74,5,7,11,61,30,59,30,55,63,52,79,60
C20orf70,97,86,82,32,44,75,61,45,11,25,87,7,34,74,3,16,36,43,86,58,51,63,45,34,60,37,31,77,20,22,78,76,15,58,24,24,57,8,32,3,66,48,34,8,84,33,67,66,41,39,2,54,39,24,79,10,73,64,63,1,36,79,39,80,45,24,7,43,54,9,98,61,98,70,59,92,17,26,54,75,53,36,22,12,60,37,62,9,92,35
C20orf94,22,15,67,47,22,50,41,1,72,81,65,18,14,22,89,53,3,64,56,61,96,40,82,52,38,34,18,72,79,73,96,37,27,95,14,42,95,46,18,34,91,23,62,74,58,31,70,18,78,12,80,49,45,98,46,42,80,24,67,65,2,9,33,84,1,10,54,18,61,37,43,44,28,24,79,38,54,36,75,39,81,53,87,90,6,60,59,27,26,86
C21orf125,80,97,64,79,78,49,80,58,46,70,37,74,94,91,96,7,10,69,80,76,60,50,79,36,64,73,25,75,36,11,56,16,82,52,78,34,47,58,19,11,78,33,18,29,50,71,3,57,16,13,96,48,14,70,98,83,57,33,63,32,87,5,48,90,88,8,59,31,84,69,90,93,42,25,56,27,80,93,99,33,21,94,58,42,16,97,9,79,2,23
C21orf129,53,99,40,73,55,12,91,41,94,45,84,16,97,12,54,54,24,95,63,55,16,36,95,94,41,57,5,3,11,85,27,21,86,49,60,58,42,87,64,13,94,11,43,70,55,26,15,49,17,51,79,14,95,16,58,32,31,40,55,40,1,65,47,36,7,86,67,72,52,77,38,10,9,34,88,50,84,87,85,98,26,93,42,44,17,3,30,53,61,45
C21orf45,17,99,55,77,2,48,33,6,94,94,16,5,98,77,55,59,60,87,51,39,29,86,12,4,12,25,76,36,61,58,86,20,68,43,8,67,39,37,96,62,42,67,27,39,77,6,95,24,2,50,17,67,92,72,88,71,18,80,41,13,98,9,49,54,43,11,51,7,2,3,95,75,93,10,42,97,37,19,98,67,76,82,42,92,24,54,32,90,99,68
C21orf56,30,15,36,39,78,77,90,87,17,22,58,37,89,30,74,30,25,48,58,7,59,48,73,10,47,63,36,61,45,27,94,55,8,44,42,70,61,90,27,25,29,72,53,71,59,8,18,53,96,93,12,70,62,99,88,22,39,4,52,66,79,61,87,89,74,20,2,2,80,83,34,29,7,72,58,46,70,50,71,38,40,6,31,11,49,67,8,50,98,94
C21orf57,3,35,58,74,14,17,8,84,39,30,71,35,64,54,36,37,5,80,36,56,12,60,97,18,21,96,56,94,87,87,96,35,93,4,96,59,92,51,45,75,54,19,87,31,24,91,49,75,14,71,68,97,46,44,66,80,64,27,71,62,41,71,8,59,52,65,90,80,90,89,29,99,21,18,68,28,73,12,39,31,27,54,50,28,9,73,67,70,58,52
C21orf58,76,6,82,41,64,12,59,59,63,35,55,73,99,96,60,67,91,75,66,70,36,86,49,56,87,76,55,71,89,43,60,94,50,95,15,35,26,5,14,10,23,36,40,85,93,55,13,84,38,97,75,82,78,37,46,13,51,10,87,21,61,11,73,17,92,35,75,15,83,8,84,11,35,13,28,59,57,16,32,32,14,54,77,92,61,58,68,61,19,27
C21orf67,3,86,3,46,59,84,91,59,47,2,23,71,36,52,24,88,52,22,96,69,35,72,95,43,39,95,70,61,66,84,79,64,58,68,35,37,89,15,88,6,54,28,16,40,71,53,77,64,71,68,36,27,23,21,35,22,9,62,93,58,88,98,63,24,90,99,22,76,78,43,76,62,1,96,93,29,74,92,26,58,2,56,81,48,49,50,56,81,49,82
C21orf70,21,97,59,76,35,24,48,93,39,63,33,36,2,19,33,15,50,85,1,84,7,3,98,17,3,44,56,82,21,53,17,91,38,84,75,96,58,55,27,25,52,32,3,14,18,34,85,72,37,94,95,31,43,37,77,40,10,89,4,6,29,26,76,57,16,93,21,11,69,3,67,65,49,60,80,65,37,33,68,52,44,8,11,55,62,71,39,16,65,92
C21orf81,17,40,13,94,3,30,98,92,87,72,62,50,86,1,39,44,95,62,60,20,15,83,58,71,24,99,89,79,61,66,45,8,90,18,21,45,4,97,13,93,72,4,47,20,12,30,83,10,17,70,65,94,54,3,26,76,71,34,8,46,22,92,8,22,74,21,55,49,12,87,79,98,92,14,92,19,55,40,85,83,88,40,18,58,60,32,62,52,85,3
C21orf90,6,87,37,68,88,25,75,91,22,33,75,41,79,33,42,41,4,4,91,38,55,41,25,15,28,47,77,84,82,28,88,53,84,74,42,42,10,5,96,87,96,40,17,32,61,9,52,19,96,85,51,59,38,17,68,27,61,68,91,88,71,72,43,90,5,17,56,89,69,60,66,15,28,10,68,91,22,91,20,4,15,81,23,99,51,23,95,19,60,1
C21orf96,72,68,39,93,89,96,14,23,21,15,87,54,63,87,68,94,44,73,73,5,5,69,4,45,12,41,8,29,21,15,30,1,28,65,13,18,12,42,70,95,92,75,84,71,19,1,3,74,28,78,92,33,37,59,82,71,49,9,10,82,57,59,25,24,88,74,24,49,44,7,15,2,86,68,61,85,74,32,86,69,20,70,94,89,60,66,16,12,63,93
C21orf99,47,17,78,27,8,40,85,29,62,22,4,71,72,61,94,75,51,73,87,39,6,74,51,10,19,94,57,15,89,51,26,59,29,5,52,4,67,83,43,88,64,61,13,90,86,44,87,75,92,84,27,33,67,75,56,32,85,8,15,37,52,24,95,47,61,64,35,78,59,68,17,67,97,53,61,89,87,98,95,48,40,16,46,56,24,88,84,26,70,95
C22orf24,93,45,9,99,1,55,8,16,37,84,45,21,52,6,26,59,38,10,50,81,41,6,74,31,70,21,11,85,50,30,26,83,47,31,18,40,35,26,2,96,25,43,53,19,74,20,86,48,10,5,22,70,29,94,2,70,99,30,82,21,66,30,80,18,35,93,19,8,76,19,55,52,30,87,17,31,88,4,53,94,5,50,42,64,4,31,40,46,69,68
C22orf27,37,91,77,68,83,88,27,68,51,76,14,56,47,79,96,81,73,23,56,25,88,37,61,72,5,66,46,75,56,74,96,46,37,74,5,76,39,10,15,93,84,92,21,26,46,26,47,45,22,72,67,75,88,91,55,80,10,16,50,29,19,17,80,67,71,17,15,7,89,37,95,3,15,59,90,48,73,45,16,11,74,19,73,7,25,53,95,20,64,66
C22orf41,75,11,31,40,54,26,27,15,6,90,64,3,92,79,76,54,50,22,62,74,81,75,75,72,36,86,7,82,46,39,79,33,1,18,64,51,70,9,69,27,9,13,64,39,91,1,16,6,4,72,2,73,1,52,52,6,33,63,24,52,5,98,48,34,20,10,13,24,66,81,8,39,87,93,62,44,77,63,44,91,43,38,97,60,71,17,50,50,6,93
C22orf43,15,65,37,41,13,23,93,26,40,47,7,29,99,56,3,1,75,63,12,29,46,94,60,83,25,67,33,34,44,94,17,76,86,31,83,90,20,79,17,12,10,75,51,91,8,8,26,43,76,5,66,37,66,92,12,5,74,75,81,37,32,5,25,6,64,5,69,71,18,53,72,66,53,74,33,18,14,19,37,81,24,88,47,77,8,33,30,68,63,11
C2CD4A,88,72,85,64,86,68,9,97,88,21,61,66,81,34,2,86,97,47,78,6,25,52,27,12,87,33,39,64,24,78,88,74,33,11,9,21,17,44,71,88,22,96,18,59,13,86,83,14,65,45,39,18,61,39,20,8,30,16,64,1,66,37,27,78,29,97,16,37,55,29,6,66,29,88,80,98,38,85,88,84,6,39,97,83,50,24,38,42,49,7
C2CD4C,32,18,44,79,95,30,4,40,7,64,10,18,73,81,93,92,31,24,24,53,76,41,91,38,51,69,96,24,73,78,47,94,6,49,17,47,62,50,26,87,49,68,72,63,41,21,81,75,53,83,92,20,45,63,94,29,68,94,29,35,13,42,32,13,92,12,48,46,64,63,88,55,27,76,40,20,37,49,16,49,13,91,6,59,13,47,65,65,42,83
C2CD4D,42,14,32,66,32,76,71,59,33,96,15,49,40,98,38,27,21,75,97,89,70,90,96,83,79,76,61,77,73,52,18,96,41,5,28,99,47,16,49,58,87,50,39,78,61,72,86,66,59,17,8,88,88,71,13,5,35,40,2,20,59,18,56,90,87,75,68,44,3,64,70,52,23,17,33,6,37,4,56,34,45,56,1,93,39,61,1,15,55,69
C2orf14,95,97,55,68,85,32,68,58,2,74,5,90,68,41,83,41,76,12,6,65,77,22,65,82,53,97,70,39,80,42,61,91,32,57,98,32,25,17,68,39,21,11,19,72,18,22,97,97,51,59,1,81,22,95,17,81,22,30,32,17,57,74,86,20,41,63,67,5,16,43,94,56,23,93,49,86,71,31,98,21,9,1,13,1,96,40,35,62,52,59
C2orf15,59,83,30,27,23,5,39,61,78,47,12,52,33,71,37,98,76,47,39,88,59,48,65,59,39,8,42,42,52,38,29,7,38,79,91,99,92,17,72,55,28,91,2,61,88,77,6,91,71,10,60,50,9,11,87,29,30,42,23,94,3,56,34,75,43,43,59,58,60,1,13,30,21,2,20,92,5,77,44,8,35,57,9,16,95,73,26,90,17,74
C2orf16,56,77,33,93,46,80,29,33,73,64,38,54,57,90,46,60,59,52,14,68,32,78,52,86,77,29,85,45,83,63,57,90,87,82,87,60,13,44,83,40,65,23,40,41,15,48,85,34,99,63,5,54,74,79,69,45,33,2,6,41,18,4,96,97,78,26,74,91,46,85,77,60,96,5,1,2,90,2,18,57,37,84,39,6,87,63,89,72,96,24
C2orf27A,63,84,76,33,98,76,66,55,45,72,2,19,37,4,34,80,32,92,25,46,11,9,49,53,86,11,95,96,21,58,59,96,44,74,99,68,15,83,36,31,35,32,60,22,38,96,68,55,15,54,36,31,12,32,70,3,16,61,70,77,23,84,28,86,41,37,95,19,11,22,9,88,76,87,40,96,69,51,41,8,44,49,61,90,84,29,10,54,39,20
C2orf27B,22,44,19,86,46,60,88,13,94,94,46,18,64,36,97,69,80,67,11,72,86,35,12,59,45,98,25,61,92,12,28,59,94,52,12,29,68,42,80,81,42,9,58,38,14,55,88,60,47,54,62,89,66,63,69,11,39,24,5,27,83,49,69,97,23,18,12,40,18,46,5,86,75,47,94,41,13,36,17,57,94,6,71,32,95,12,16,88,33,7
C2orf34,96,48,28,77,43,42,96,42,73,85,27,71,63,7,82,46,16,36,24,67,52,94,91,49,59,43,28,15,44,37,88,18,3,95,77,18,63,58,18,14,5,90,30,75,39,44,9,94,36,6,13,24,14,18,97,21,14,45,61,79,82,17,88,68,19,41,27,74,22,52,35,31,77,70,44,7,1,9,27,43,52,62,6,11,69,94,77,69,94,75
C2orf48,69,77,3,40,32,91,84,27,55,70,55,93,51,60,43,81,17,85,25,57,91,21,22,38,55,4,12,31,34,40,91,26,35,44,68,43,29,34,79,70,82,19,34,13,9,59,15,35,77,22,34,98,15,46,69,25,27,63,95,39,33,85,77,82,52,70,70,97,73,24,91,67,73,53,35,21,90,28,6,38,32,90,88,62,35,14,36,67,26,71
C2orf51,68,8,36,71,70,20,64,82,51,98,22,28,46,97,82,18,91,96,60,57,86,75,76,58,47,17,1,60,36,35,3,45,35,71,78,66,63,63,64,59,22,84,74,50,42,26,50,59,53,33,23,2,6,49,23,30,84,5,36,1,2,34,32,56,37,51,14,75,32,59,91,12,48,72,38,56,86,80,17,25,44,60,78,31,76,77,97,61,51,19
C2orf52,66,43,81,27,80,41,90,67,49,37,71,10,33,36,37,87,80,99,99,3,37,59,85,83,81,18,64,87,89,51,61,75,92,77,13,70,84,79,84,44,98,36,57,76,6,92,85,36,12,1,85,18,49,76,24,96,52,44,59,33,23,58,80,36,14,12,67,8,95,81,17,5,25,31,9,87,79,8,92,86,99,85,89,15,12,69,33,66,12,8
C2orf53,32,49,92,5,42,26,10,98,14,68,93,35,44,72,83,50,31,38,94,6,18,37,2,7,27,65,67,33,49,37,77,38,5,42,33,36,12,20,26,17,41,29,26,12,49,73,91,79,88,75,18,5,26,80,25,32,47,24,97,2,80,92,92,9,56,36,13,81,70,57,44,37,70,88,2,12,7,51,26,16,12,67,90,54,56,9,17,64,22,27
C2orf57,57,30,6,56,96,68,55,21,14,38,61,29,10,31,56,25,21,90,33,55,63,37,2,43,77,81,76,84,89,37,52,4,67,81,70,31,28,59,85,4,98,40,54,42,59,95,42,9,12,71,15,61,33,64,26,78,73,50,11,73,82,37,97,65,43,46,8,26,76,89,56,76,47,98,30,60,2,65,60,17,37,24,93,1,78,31,63,40,96,52
C2orf61,33,28,95,67,56,24,52,82,80,40,35,38,38,30,2,61,39,75,17,6,29,22,60,33,97,37,80,19,80,87,55,78,78,75,45,18,27,6,70,32,83,80,92,39,93,21,36,59,29,59,64,70,73,4,1,62,66,50,99,74,14,64,70,87,86,83,63,44,91,43,88,87,64,73,83,82,40,91,28,17,34,33,22,51,20,19,53,26,75,20
C2orf63,66,42,45,74,32,28,30,47,86,44,13,60,90,81,26,16,39,82,19,66,24,78,68,70,69,26,72,8,54,98,31,7,35,7,23,26,83,64,20,87,89,16,10,1,24,47,86,19,38,3,37,78,60,3,54,8,24,35,90,57,65,64,63,52,89,78,93,50,27,59,47,46,21,26,50,67,6,46,28,13,15,65,61,91,96,65,59,53,75,57
C2orf65,27,17,94,20,94,20,21,72,63,55,36,82,20,96,1,34,87,33,66,9,98,68,33,70,33,7,88,83,14,93,60,99,82,68,59,63,66,70,49,95,28,36,98,16,43,72,29,64,20,15,99,59,44,7,32,64,74,94,64,90,34,25,1,62,37,78,65,46,75,10,81,34,1,5,28,21,49,25,46,5,43,19,3,67,18,14,3,55,70,52
C2orf66,41,77,59,85,33,31,75,8,1,54,77,19,96,30,1,33,97,32,11,7,88,48,60,32,53,77,93,68,77,33,93,60,88,90,42,19,5,8,74,92,36,96,26,61,34,1,61,61,99,17,66,92,59,97,39,73,41,85,81,34,63,21,1,54,30,72,74,21,21,50,73,19,6,97,62,56,73,47,52,48,78,91,40,56,25,34,97,13,62,9
C2orf70,66,34,76,4,57,34,7,10,60,14,74,14,21,47,75,94,54,40,1,38,67,57,79,67,24,81,58,92,53,38,12,48,8,89,27,75,66,57,52,27,77,75,14,86,53,81,95,75,87,89,32,32,26,6,99,88,75,33,81,8,73,15,44,40,95,77,77,44,44,22,34,58,28,50,38,14,90,57,93,20,83,53,76,3,41,39,8,96,50,55
C2orf78,86,54,73,16,50,32,4,32,28,57,23,23,73,3,64,46,33,55,5,33,8,73,41,70,72,41,99,75,40,93,76,59,40,83,76,69,30,42,47,27,1,72,15,38,28,48,73,23,15,24,42,12,99,34,25,85,97,27,67,87,84,73,71,43,46,72,76,23,18,53,4,18,40,36,35,12,45,11,88,41,26,56,24,24,70,55,6,3,11,70
C2orf80,91,63,82,19,30,6,41,71,30,70,63,4,16,49,51,66,56,92,69,11,86,32,48,10,98,98,16,73,97,80,31,68,62,35,73,43,28,38,9,70,20,41,65,27,19,10,70,16,76,84,96,42,47,11,39,64,87,36,52,56,45,98,78,97,43,13,74,51,1,27,92,97,66,97,28,11,49,94,65,82,55,15,59,62,48,43,13,45,80,96
C2orf81,94,69,48,66,41,6,94,31,99,48,26,59,12,90,21,6,56,7,95,4,49,85,62,20,54,50,26,28,24,28,37,23,78,85,88,15,54,49,62,52,46,96,7,60,97,24,8,32,7,82,65,8,57,69,68,69,47,12,35,37,20,94,9,95,39,82,75,15,63,37,72,21,51,59,94,30,85,92,83,59,13,74,40,94,92,29,37,90,34,17
C2orf82,78,51,14,57,67,63,12,44,15,94,88,53,88,79,87,82,33,53,37,57,15,63,52,47,23,27,12,4,3,19,17,39,73,34,74,67,88,91,31,47,13,80,45,41,19,47,27,55,18,27,32,17,26,40,9,80,85,13,84,6,89,2,70,20,3,6,30,58,80,42,33,85,82,75,55,64,50,2,8,36,49,91,38,38,59,52,82,13,31,71
C2orf83,21,57,2,80,78,94,22,49,77,45,22,96,13,85,26,12,68,33,83,20,38,21,75,53,15,26,80,2,73,98,7,39,59,21,5,83,51,3,38,25,44,27,18,59,92,10,13,39,7,48,76,23,73,72,38,89,91,12,5,34,38,81,3,86,12,19,1,66,21,74,44,71,6,79,76,46,66,24,1,98,37,52,90,23,73,93,58,56,30,39
C2orf86,8,71,41,51,1,56,95,49,78,30,48,28,54,37,93,56,36,4,34,93,99,15,49,38,92,9,82,76,77,8,60,98,89,13,77,14,36,50,52,5,45,43,54,32,35,82,2,39,62,64,45,76,13,98,16,49,41,43,28,42,94,7,35,67,71,64,91,82,53,61,65,14,19,44,84,46,52,69,4,82,94,47,91,49,68,45,54,76,69,69
C2orf89,47,56,72,92,70,41,82,95,97,19,72,44,51,58,18,22,34,30,52,73,37,44,4,51,64,81,32,23,6,58,7,92,56,13,10,41,89,11,26,1,42,17,21,29,67,24,58,78,41,53,79,13,91,79,37,94,47,40,70,98,52,81,5,60,56,41,86,3,46,5,69,43,8,86,20,54,74,46,83,92,91,81,28,90,24,19,94,80,33,66
C3orf20,35,95,92,99,74,81,54,51,92,39,84,40,60,50,42,48,95,23,14,1,61,98,72,6,90,68,17,98,9,62,73,98,2,56,55,97,8,83,64,17,25,90,64,26,37,23,31,46,34,70,71,76,24,67,77,99,62,86,70,57,8,62,40,59,16,91,66,22,63,98,27,84,76,19,76,49,85,57,63,63,56,5,47,19,95,91,4,76,56,57
C3orf22,86,79,9,13,6,72,30,23,30,49,95,54,34,23,3,62,48,66,64,35,16,4,78,57,89,70,39,41,11,73,88,59,69,71,95,82,70,11,21,74,94,33,84,84,72,92,59,94,16,30,57,71,94,59,74,69,53,2,44,73,24,81,95,68,46,35,89,55,3,36,61,78,44,57,55,18,63,11,50,75,87,14,90,16,66,5,18,61,92,54
C3orf24,34,55,45,63,12,14,5,35,54,87,51,70,22,47,40,27,10,33,14,28,53,47,49,72,16,8,46,26,38,62,67,96,90,43,69,18,36,25,86,84,44,26,57,24,46,58,46,81,25,73,88,48,30,9,19,14,80,87,32,31,74,17,98,15,91,72,97,59,8,98,79,80,89,68,4,52,84,18,50,40,82,87,77,49,4,97,84,72,81,17
C3orf27,27,13,89,13,52,37,9,37,55,95,85,10,98,49,6,40,91,82,28,98,4,38,61,52,41,31,1,82,28,12,80,66,59,66,13,48,25,35,70,29,99,59,90,45,51,7,13,92,8,39,9,98,5,5,46,11,15,73,21,69,71,27,30,30,35,33,43,92,30,79,73,11,16,13,13,99,25,21,65,15,76,73,6,89,48,40,39,44,37,71
C3orf30,41,31,95,41,44,59,54,22,73,7,1,35,40,16,36,67,66,26,23,70,32,3,96,75,19,18,8,58,84,94,17,56,45,22,65,72,44,88,4,43,92,50,17,23,14,79,54,73,29,44,64,91,84,99,42,16,62,63,55,89,85,63,57,37,63,36,23,81,70,66,83,64,27,17,56,49,56,30,39,98,89,40,5,49,30,93,44,95,27,53
C3orf31,47,46,97,36,24,32,54,68,35,12,89,58,43,39,60,85,56,55,23,77,82,38,13,87,36,23,40,9,85,15,52,99,71,83,29,19,26,46,96,11,84,75,13,30,1,37,67,10,94,58,40,88,73,64,10,41,2,31,33,15,66,5,41,80,16,93,99,23,10,21,65,35,52,22,12,45,84,12,20,28,46,12,73,48,63,75,24,45,72,60
C3orf34,34,6,33,48,5,84,37,78,41,81,49,73,39,30,95,66,82,65,7,38,31,5,18,39,21,67,41,88,6,60,81,18,95,33,53,98,57,36,51,92,4,24,92,66,1,2,80,50,3,39,16,17,38,61,53,81,62,90,75,63,61,79,46,78,57,28,17,40,99,79,90,92,5,64,38,94,84,70,8,46,60,71,51,70,27,29,96,14,50,12
C3orf35,43,56,25,94,53,99,50,54,76,35,1,8,36,90,59,31,31,41,82,30,27,65,36,77,41,86,87,54,87,54,14,86,98,50,40,74,27,90,34,20,42,12,23,44,77,70,5,39,47,86,57,89,37,55,56,88,11,78,13,43,49,71,3,18,35,56,83,44,6,99,20,46,13,35,41,30,73,79,56,34,62,29,67,44,23,43,88,65,66,85
C3orf43,37,61,5,23,80,91,87,25,11,15,13,67,83,46,35,75,21,86,84,17,14,70,42,71,27,12,60,50,82,34,40,57,76,91,89,84,48,82,82,47,77,23,95,58,10,62,15,12,59,3,17,86,28,65,7,47,55,86,82,18,84,95,59,55,18,20,13,35,79,90,13,53,39,86,58,39,47,14,50,52,66,35,8,91,97,37,39,55,98,78
C3orf47,58,27,31,81,35,7,27,32,18,24,25,32,60,21,24,65,36,18,22,99,16,35,7,88,69,3,16,94,47,8,70,25,44,71,55,48,1,15,84,54,8,46,17,47,24,31,68,92,4,87,90,61,64,68,81,54,88,95,12,74,72,34,62,19,27,46,88,45,80,52,42,61,55,90,86,8,2,66,84,91,63,91,70,81,67,21,20,22,42,75
C3orf48,67,68,95,99,2,52,27,63,70,43,32,19,46,48,76,88,56,78,53,21,16,6,65,16,39,62,54,42,55,65,93,75,65,35,63,9,68,48,42,38,21,29,12,50,97,32,69,79,40,83,63,98,72,77,99,94,99,10,48,22,79,63,93,87,7,51,94,75,10,6,98,57,83,83,75,93,26,14,54,31,12,64,25,73,35,54,98,99,76,28
C3orf50,56,91,42,50,31,41,78,27,81,82,28,9,36,73,26,36,34,27,70,48,35,17,28,35,5,3,45,16,50,21,62,79,51,56,62,1,13,52,44,62,97,32,91,32,47,47,27,34,27,61,53,43,78,35,66,15,78,85,43,84,33,17,24,21,34,28,88,61,82,26,98,36,91,10,90,44,20,51,24,91,54,82,30,86,7,21,29,56,58,78
C3orf54,79,63,65,20,55,95,55,80,9,84,62,34,92,59,22,13,65,56,6,36,25,92,80,23,56,68,63,5,26,51,17,38,98,96,93,43,6,10,54,89,73,17,69,99,21,13,95,30,23,87,31,72,89,94,63,30,75,13,91,90,9,30,66,73,55,3,84,45,70,7,7,11,82,46,65,40,57,71,57,84,43,22,87,7,99,35,39,11,54,89
C3orf62,75,39,18,66,88,2,3,47,95,23,62,37,6,51,7,98,19,99,52,78,39,1,63,47,11,46,23,17,80,16,21,11,25,17,52,56,17,54,90,49,79,39,90,7,61,19,10,45,87,74,97,54,76,6,29,89,82,27,25,91,30,51,12,55,60,48,97,55,85,42,32,61,79,59,86,67,57,35,24,36,78,36,99,6,37,90,89,66,90,14
C3orf65,6,6,99,62,56,71,17,89,63,35,96,50,22,86,77,74,88,62,58,52,93,1,83,73,19,24,60,51,62,12,39,10,1,30,72,76,23,18,90,3,80,84,66,13,50,42,22,46,91,33,20,27,22,66,58,26,88,81,59,20,97,50,31,10,94,29,79,68,20,23,3,12,55,2,22,55,64,73,98,75,8,9,30,8,79,74,31,12,22,51
C3orf67,84,97,51,48,18,19,87,43,87,27,52,24,29,66,22,18,60,97,5,27,37,24,48,67,87,63,28,13,88,11,21,25,10,59,14,80,53,32,36,11,82,25,10,86,10,54,5,86,78,54,39,64,71,94,49,23,75,72,5,1,68,36,88,30,89,60,34,35,46,69,32,81,97,47,29,79,85,22,4,26,86,96,1,56,13,38,21,54,69,83
C3orf72,17,87,39,59,60,18,71,82,86,81,75,60,28,93,86,38,85,42,87,87,54,30,71,32,84,4,74,26,19,58,12,45,28,33,16,45,76,35,34,83,58,48,31,35,11,56,83,2,77,48,13,33,13,50,50,39,28,9,57,21,81,6,65,87,64,10,44,10,25,25,99,27,8,29,89,37,35,12,1,76,98,14,86,47,9,27,81,6,68,53
C3orf74,57,56,50,55,18,8,12,90,82,30,63,26,64,83,19,70,41,14,77,69,91,40,23,15,87,12,51,48,58,42,99,96,41,17,66,94,79,53,61,97,88,61,12,60,39,90,95,90,80,59,49,17,94,47,39,5,75,12,24,89,72,79,50,85,87,10,87,48,17,33,66,91,16,64,31,19,56,36,83,96,32,82,33,74,80,79,7,29,39,44
C3orf77,1,99,26,19,12,21,58,69,28,32,57,40,94,51,26,10,19,54,22,75,1,31,80,89,18,53,18,36,84,49,29,7,95,55,14,74,8,24,25,92,63,29,51,32,69,71,53,95,47,78,47,9,42,63,83,69,7,38,18,50,59,81,3,33,10,15,63,34,59,77,35,81,14,21,25,31,46,53,18,52,44,15,60,63,61,27,42,95,10,45
